codigo,etapa,ano,area,componente,unidade_tematica,objeto_conhecimento,descricao,palavras_chave,temas_relacionados,steam_relacionado,cultura_maker,fonte_url,observacoes
EF06ER01,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,"Reconhecer o papel da tradição escrita na preservação de memórias, acontecimentos e ensinamentos religiosos.","{""papel"",""tradicao"",""escrita"",""preservacao"",""memorias"",""acontecimentos"",""ensinamentos"",""religiosos""}","{""papel"",""tradicao"",""escrita"",""preservacao"",""memorias"",""acontecimentos""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06ER02,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,"Reconhecer e valorizar a diversidade de textos religiosos escritos (textos do Budismo, Cristianismo, Espiritismo, Hinduísmo, Islamismo, Judaísmo, entre outros).","{""valorizar"",""diversidade"",""textos"",""religiosos"",""escritos"",""budismo"",""cristianismo"",""espiritismo"",""hinduismo"",""islamismo""}","{""valorizar"",""diversidade"",""textos"",""religiosos"",""escritos"",""budismo""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06ER03,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,"Reconhecer, em textos escritos, ensinamentos relacionados a modos de ser e viver.","{""textos"",""escritos"",""ensinamentos"",""relacionados"",""modos"",""viver""}","{""textos"",""escritos"",""ensinamentos"",""relacionados"",""modos"",""viver""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06ER04,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,Reconhecer que os textos escritos são utilizados pelas tradições religiosas de maneiras diversas.,"{""textos"",""escritos"",""utilizados"",""pelas"",""tradicoes"",""religiosas"",""maneiras""}","{""textos"",""escritos"",""utilizados"",""pelas"",""tradicoes"",""religiosas""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06ER05,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,Discutir como o estudo e a interpretação dos textos religiosos influenciam os adeptos a vivenciarem os ensinamentos das tradições religiosas.,"{""estudo"",""interpretacao"",""textos"",""religiosos"",""influenciam"",""adeptos"",""vivenciarem"",""ensinamentos"",""tradicoes"",""religiosas""}","{""estudo"",""interpretacao"",""textos"",""religiosos"",""influenciam"",""adeptos""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06ER06,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,"Reconhecer a importância dos mitos, ritos, símbolos e textos na estruturação das diferentes crenças, tradições e movimentos religiosos.","{""importancia"",""mitos"",""ritos"",""simbolos"",""textos"",""estruturacao"",""crencas"",""tradicoes"",""movimentos"",""religiosos""}","{""importancia"",""mitos"",""ritos"",""simbolos"",""textos"",""estruturacao""}","{""engenharia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06ER07,Ensino Fundamental - Anos Finais,6º ano,Ensino Religioso,Ensino Religioso,,,"Exemplificar a relação entre mito, rito e símbolo nas práticas celebrativas de diferentes tradições religiosas.","{""exemplificar"",""relacao"",""simbolo"",""praticas"",""celebrativas"",""tradicoes"",""religiosas""}","{""exemplificar"",""relacao"",""simbolo"",""praticas"",""celebrativas"",""tradicoes""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efer,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE01,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,Comparar modificações das paisagens nos lugares de vivência e os usos desses lugares em diferentes tempos.,"{""modificacoes"",""paisagens"",""lugares"",""vivencia"",""desses"",""tempos""}","{""modificacoes"",""paisagens"",""lugares"",""vivencia"",""desses"",""tempos""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE02,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Analisar modificações de paisagens por diferentes tipos de sociedade, com destaque para os povos originários.","{""modificacoes"",""paisagens"",""tipos"",""sociedade"",""destaque"",""povos"",""originarios""}","{""modificacoes"",""paisagens"",""tipos"",""sociedade"",""destaque"",""povos""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE03,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Descrever os movimentos do planeta e sua relação com a circulação geral da atmosfera, o tempo atmosférico e os padrões climáticos.","{""descrever"",""movimentos"",""planeta"",""relacao"",""circulacao"",""geral"",""atmosfera"",""tempo"",""atmosferico"",""padroes""}","{""descrever"",""movimentos"",""planeta"",""relacao"",""circulacao"",""geral""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE04,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Descrever o ciclo da água, comparando o escoamento superficial no ambiente urbano e rural, reconhecendo os principais componentes da morfologia das bacias e das redes hidrográficas e a sua localização no modelado da superfície terrestre e da cobertura vegetal.","{""descrever"",""ciclo"",""comparando"",""escoamento"",""superficial"",""ambiente"",""urbano"",""rural"",""reconhecendo"",""principais""}","{""descrever"",""ciclo"",""comparando"",""escoamento"",""superficial"",""ambiente""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE05,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Relacionar padrões climáticos, tipos de solo, relevo e formações vegetais.","{""relacionar"",""padroes"",""climaticos"",""tipos"",""relevo"",""formacoes"",""vegetais""}","{""relacionar"",""padroes"",""climaticos"",""tipos"",""relevo"",""formacoes""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE06,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,Identificar as características das paisagens transformadas pelo trabalho humano a partir do desenvolvimento da agropecuária e do processo de industrialização.,"{""caracteristicas"",""paisagens"",""transformadas"",""trabalho"",""humano"",""desenvolvimento"",""agropecuaria"",""processo"",""industrializacao""}","{""caracteristicas"",""paisagens"",""transformadas"",""trabalho"",""humano"",""desenvolvimento""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE07,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,Explicar as mudanças na interação humana com a natureza a partir do surgimento das cidades.,"{""explicar"",""mudancas"",""interacao"",""humana"",""natureza"",""surgimento"",""cidades""}","{""explicar"",""mudancas"",""interacao"",""humana"",""natureza"",""surgimento""}","{""ciencia"",""artes""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE08,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,Medir distâncias na superfície pelas escalas gráficas e numéricas dos mapas.,"{""medir"",""distancias"",""superficie"",""pelas"",""escalas"",""graficas"",""numericas"",""mapas""}","{""medir"",""distancias"",""superficie"",""pelas"",""escalas"",""graficas""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE09,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Elaborar modelos tridimensionais, blocos-diagramas e perfis topográficos e de vegetação, visando à representação de elementos e estruturas da superfície terrestre.","{""modelos"",""tridimensionais"",""blocos"",""diagramas"",""perfis"",""topograficos"",""vegetacao"",""visando"",""representacao"",""elementos""}","{""modelos"",""tridimensionais"",""blocos"",""diagramas"",""perfis"",""topograficos""}","{""engenharia"",""matematica""}",true,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE10,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Explicar as diferentes formas de uso do solo (rotação de terras, terraceamento, aterros etc.) e de apropriação dos recursos hídricos (sistema de irrigação, tratamento e redes de distribuição), bem como suas vantagens e desvantagens em diferentes épocas e lugares.","{""explicar"",""rotacao"",""terras"",""terraceamento"",""aterros"",""apropriacao"",""recursos"",""hidricos"",""sistema"",""irrigacao""}","{""explicar"",""rotacao"",""terras"",""terraceamento"",""aterros"",""apropriacao""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE11,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Analisar distintas interações das sociedades com a natureza, com base na distribuição dos componentes físico-naturais, incluindo as transformações da biodiversidade local e do mundo.","{""distintas"",""interacoes"",""sociedades"",""natureza"",""distribuicao"",""componentes"",""fisico"",""naturais"",""incluindo"",""transformacoes""}","{""distintas"",""interacoes"",""sociedades"",""natureza"",""distribuicao"",""componentes""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE12,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Identificar o consumo dos recursos hídricos e o uso das principais bacias hidrográficas no Brasil e no mundo, enfatizando as transformações nos ambientes urbanos.","{""consumo"",""recursos"",""hidricos"",""principais"",""bacias"",""hidrograficas"",""brasil"",""mundo"",""enfatizando"",""transformacoes""}","{""consumo"",""recursos"",""hidricos"",""principais"",""bacias"",""hidrograficas""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06GE13,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,Geografia,,,"Analisar consequências, vantagens e desvantagens das práticas humanas na dinâmica climática (ilha de calor etc.).","{""consequencias"",""vantagens"",""desvantagens"",""praticas"",""humanas"",""dinamica"",""climatica"",""calor""}","{""consequencias"",""vantagens"",""desvantagens"",""praticas"",""humanas"",""dinamica""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efge,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI01,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Identificar diferentes formas de compreensão da noção de tempo e de periodização dos processos históricos (continuidades e rupturas).,"{""compreensao"",""nocao"",""tempo"",""periodizacao"",""processos"",""historicos"",""continuidades"",""rupturas""}","{""compreensao"",""nocao"",""tempo"",""periodizacao"",""processos"",""historicos""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI02,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Identificar a gênese da produção do saber histórico e analisar o significado das fontes que originaram determinadas formas de registro em sociedades e épocas distintas.,"{""genese"",""producao"",""saber"",""historico"",""significado"",""fontes"",""originaram"",""determinadas"",""registro"",""sociedades""}","{""genese"",""producao"",""saber"",""historico"",""significado"",""fontes""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI03,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Identificar as hipóteses científicas sobre o surgimento da espécie humana e sua historicidade e analisar os significados dos mitos de fundação.,"{""hipoteses"",""cientificas"",""surgimento"",""especie"",""humana"",""historicidade"",""significados"",""mitos"",""fundacao""}","{""hipoteses"",""cientificas"",""surgimento"",""especie"",""humana"",""historicidade""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI04,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Conhecer as teorias sobre a origem do homem americano.,"{""conhecer"",""teorias"",""origem"",""homem"",""americano""}","{""conhecer"",""teorias"",""origem"",""homem"",""americano""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI05,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,"Descrever modificações da natureza e da paisagem realizadas por diferentes tipos de sociedade, com destaque para os povos indígenas originários e povos africanos, e discutir a natureza e a lógica das transformações ocorridas.","{""descrever"",""modificacoes"",""natureza"",""paisagem"",""realizadas"",""tipos"",""sociedade"",""destaque"",""povos"",""indigenas""}","{""descrever"",""modificacoes"",""natureza"",""paisagem"",""realizadas"",""tipos""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI06,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Identificar geograficamente as rotas de povoamento no território americano.,"{""geograficamente"",""rotas"",""povoamento"",""territorio"",""americano""}","{""geograficamente"",""rotas"",""povoamento"",""territorio"",""americano""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI07,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,"Identificar aspectos e formas de registro das sociedades antigas na África, no Oriente Médio e nas Américas, distinguindo alguns significados presentes na cultura material e na tradição oral dessas sociedades.","{""aspectos"",""registro"",""sociedades"",""antigas"",""africa"",""oriente"",""medio"",""americas"",""distinguindo"",""alguns""}","{""aspectos"",""registro"",""sociedades"",""antigas"",""africa"",""oriente""}","{""ciencia"",""engenharia"",""artes""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI08,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,"Identificar os espaços territoriais ocupados e os aportes culturais, científicos, sociais e econômicos dos astecas, maias e incas e dos povos indígenas de diversas regiões brasileiras.","{""espacos"",""territoriais"",""ocupados"",""aportes"",""culturais"",""cientificos"",""sociais"",""economicos"",""astecas"",""maias""}","{""espacos"",""territoriais"",""ocupados"",""aportes"",""culturais"",""cientificos""}","{""ciencia"",""artes""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI09,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,"Discutir o conceito de Antiguidade Clássica, seu alcance e limite na tradição ocidental, assim como os impactos sobre outras sociedades e culturas.","{""conceito"",""antiguidade"",""classica"",""alcance"",""limite"",""tradicao"",""ocidental"",""assim"",""impactos"",""outras""}","{""conceito"",""antiguidade"",""classica"",""alcance"",""limite"",""tradicao""}","{""artes""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI10,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,"Explicar a formação da Grécia Antiga, com ênfase na formação da pólis e nas transformações políticas, sociais e culturais.","{""explicar"",""formacao"",""grecia"",""antiga"",""enfase"",""polis"",""transformacoes"",""politicas"",""sociais"",""culturais""}","{""explicar"",""formacao"",""grecia"",""antiga"",""enfase"",""polis""}","{""artes""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI11,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Caracterizar o processo de formação da Roma Antiga e suas configurações sociais e políticas nos períodos monárquico e republicano.,"{""caracterizar"",""processo"",""formacao"",""antiga"",""configuracoes"",""sociais"",""politicas"",""periodos"",""monarquico"",""republicano""}","{""caracterizar"",""processo"",""formacao"",""antiga"",""configuracoes"",""sociais""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06HI12,Ensino Fundamental - Anos Finais,6º ano,Ciências Humanas,História,,,Associar o conceito de cidadania a dinâmicas de inclusão e exclusão na Grécia e Roma antigas.,"{""associar"",""conceito"",""cidadania"",""dinamicas"",""inclusao"",""exclusao"",""grecia"",""antigas""}","{""associar"",""conceito"",""cidadania"",""dinamicas"",""inclusao"",""exclusao""}",{},false,https://catalogobncc.github.io/metadados/2022/03/30/efhi,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
